"yardline_100","fg_model_roof","prob"
79,"10",0.0071457637726808
80,"10",0.00632813048583673
81,"10",0.00560352450298246
82,"10",0.00496147563549465
83,"10",0.00439266741665906
84,"10",0.00388881534024591
85,"10",0.00344255676767177
86,"10",0.00304735165404055
87,"10",0.00269739323901775
88,"10",0.00238752786532085
89,"10",0.00211318311913027
90,"10",0.00187030352796099
91,"10",0.00165529309868817
92,"10",0.00146496402865521
93,"10",0.00129649097401385
94,"10",0.00114737031014856
95,"10",0.0010153838681655
96,"10",0.000898566678273741
97,"10",0.000795178295009626
98,"10",0.000703677320403627
99,"10",0.000622698779265034
1,"11",0.994163237225915
2,"11",0.993040471767993
3,"11",0.991705821419822
4,"11",0.990124243652692
5,"11",0.988257337593085
6,"11",0.98606282795317
7,"11",0.983493551046256
8,"11",0.980495871608063
9,"11",0.97700759217566
10,"11",0.972955593394355
11,"11",0.968253649650038
12,"11",0.962801094678392
13,"11",0.956483269206211
14,"11",0.949174957376475
15,"11",0.940748246698021
16,"11",0.931086259420918
17,"11",0.920103701323986
18,"11",0.907773775511302
19,"11",0.894158454491769
20,"11",0.879435635166546
21,"11",0.863913459402285
22,"11",0.848021102565686
23,"11",0.832268663415799
24,"11",0.81717685770493
25,"11",0.80318760058123
26,"11",0.790574668578203
27,"11",0.779375368669571
28,"11",0.769358550969621
29,"11",0.760033996946101
30,"11",0.750697624088192
31,"11",0.740500097088617
32,"11",0.728525510714734
33,"11",0.713871466640878
34,"11",0.695729124874449
35,"11",0.673466841943106
36,"11",0.646719057803097
37,"11",0.615471339087964
38,"11",0.580117098688519
39,"11",0.541452569563953
40,"11",0.500586828513017
41,"11",0.458775511755107
42,"11",0.417224198769614
43,"11",0.376924466789164
44,"11",0.338569386097431
45,"11",0.302557640200839
46,"11",0.269061024386219
47,"11",0.23811508739163
48,"11",0.209697472911735
49,"11",0.183774197525661
50,"11",0.16031135703334
51,"11",0.139262486259675
52,"11",0.120547853907375
53,"11",0.104039387684667
54,"11",0.0895614483937585
55,"11",0.0769252538845193
56,"11",0.0659427655347972
57,"11",0.0564323714299633
58,"11",0.0482227726125149
59,"11",0.0411553878856726
60,"11",0.0350855958245597
61,"11",0.0298831058943167
