"term","x","f"
"cpoe",-18.1,-0.101351110399945
"cpoe",-18,-0.100800600519485
"cpoe",-17.9,-0.100250090639026
"cpoe",-17.8,-0.0996995807585664
"cpoe",-17.7,-0.099149070878107
"cpoe",-17.6,-0.0985985609976475
"cpoe",-17.5,-0.0980480511171882
"cpoe",-17.4,-0.0974975412367287
"cpoe",-17.3,-0.0969470313562693
"cpoe",-17.2,-0.0963965214758099
"cpoe",-17.1,-0.0958460115953505
"cpoe",-17,-0.0952955017148911
"cpoe",-16.9,-0.0947449918344316
"cpoe",-16.8,-0.0941944819539722
"cpoe",-16.7,-0.0936439720735128
"cpoe",-16.6,-0.0930934621930534
"cpoe",-16.5,-0.092542952312594
"cpoe",-16.4,-0.0919924424321346
"cpoe",-16.3,-0.0914419325516752
"cpoe",-16.2,-0.0908914226712158
"cpoe",-16.1,-0.0903409127907563
"cpoe",-16,-0.0897904029102969
"cpoe",-15.9,-0.0892398930298375
"cpoe",-15.8,-0.0886893831493781
"cpoe",-15.7,-0.0881388732689187
"cpoe",-15.6,-0.0875883633884593
"cpoe",-15.5,-0.0870378535079998
"cpoe",-15.4,-0.0864873436275404
"cpoe",-15.3,-0.085936833747081
"cpoe",-15.2,-0.0853863238666216
"cpoe",-15.1,-0.0848358139861622
"cpoe",-15,-0.0842853041057028
"cpoe",-14.9,-0.0837347942252434
"cpoe",-14.8,-0.0831842843447839
"cpoe",-14.7,-0.0826337744643245
"cpoe",-14.6,-0.0820832645838651
"cpoe",-14.5,-0.0815327547034057
"cpoe",-14.4,-0.0809822448229463
"cpoe",-14.3,-0.0804317349424869
"cpoe",-14.2,-0.0798812250620275
"cpoe",-14.1,-0.079330715181568
"cpoe",-14,-0.0787802053011086
"cpoe",-13.9,-0.0782296954206492
"cpoe",-13.8,-0.0776791855401898
"cpoe",-13.7,-0.0771286756597305
"cpoe",-13.6,-0.0765781657792712
"cpoe",-13.5,-0.0760276558988119
"cpoe",-13.4,-0.0754771460183527
"cpoe",-13.3,-0.0749266361378935
"cpoe",-13.2,-0.0743761262574344
"cpoe",-13.1,-0.0738256163769753
"cpoe",-13,-0.0732751064965164
"cpoe",-12.9,-0.0727245966160575
"cpoe",-12.8,-0.0721740867355987
"cpoe",-12.7,-0.0716235768551401
"cpoe",-12.6,-0.0710730669746815
